Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
1121.15,1149.0,1120.0,1139.65,2680903,0.0,0.0,2022-11-30,Cipla,18.5
1145.0,1145.2,1117.0,1124.9,1360439,0.0,0.0,2022-12-01,Cipla,-14.75
1124.9,1124.9,1099.0,1114.35,2586376,0.0,0.0,2022-12-02,Cipla,-10.55
1114.35,1122.55,1108.15,1115.35,1236554,0.0,0.0,2022-12-05,Cipla,1.0
1115.0,1117.8,1103.4,1109.6,1180968,0.0,0.0,2022-12-06,Cipla,-5.75
1111.0,1122.65,1103.4,1105.3,1031921,0.0,0.0,2022-12-07,Cipla,-4.3
1109.2,1113.0,1103.15,1107.5,808315,0.0,0.0,2022-12-08,Cipla,2.2
1115.0,1115.85,1101.1,1107.9,994866,0.0,0.0,2022-12-09,Cipla,0.4
1105.0,1110.0,1093.1,1096.8,1544297,0.0,0.0,2022-12-12,Cipla,-11.1
1096.95,1112.5,1088.2,1109.9,1282727,0.0,0.0,2022-12-13,Cipla,13.1
1114.0,1119.0,1106.15,1112.7,1013627,0.0,0.0,2022-12-14,Cipla,2.8
1111.2,1118.1,1099.35,1101.8,710477,0.0,0.0,2022-12-15,Cipla,-10.9
1096.3,1108.0,1086.1,1089.4,1309491,0.0,0.0,2022-12-16,Cipla,-12.4
1090.35,1100.5,1084.45,1096.65,779326,0.0,0.0,2022-12-19,Cipla,7.25
1096.0,1097.4,1088.45,1091.15,795748,0.0,0.0,2022-12-20,Cipla,-5.5
1096.1,1130.0,1085.65,1128.0,3224730,0.0,0.0,2022-12-21,Cipla,36.85
1135.0,1147.35,1117.05,1122.45,2070809,0.0,0.0,2022-12-22,Cipla,-5.55
1121.0,1146.95,1113.2,1119.15,2773210,0.0,0.0,2022-12-23,Cipla,-3.3
1127.0,1135.0,1094.0,1096.5,1279529,0.0,0.0,2022-12-26,Cipla,-22.65
1094.05,1104.9,1090.1,1095.85,1209316,0.0,0.0,2022-12-27,Cipla,-0.65
1094.0,1103.15,1084.1,1085.8,872940,0.0,0.0,2022-12-28,Cipla,-10.05
1086.0,1098.0,1070.0,1087.55,1625961,0.0,0.0,2022-12-29,Cipla,1.75
1094.95,1095.0,1073.5,1075.95,1185711,0.0,0.0,2022-12-30,Cipla,-11.6
1080.25,1082.0,1063.85,1070.95,895053,0.0,0.0,2023-01-02,Cipla,-5.0
1070.05,1080.95,1066.4,1075.9,952230,0.0,0.0,2023-01-03,Cipla,4.95
1078.95,1081.95,1063.95,1066.9,1369415,0.0,0.0,2023-01-04,Cipla,-9.0
1075.0,1093.2,1067.4,1088.35,1605744,0.0,0.0,2023-01-05,Cipla,21.45
1088.35,1093.1,1073.5,1076.35,824772,0.0,0.0,2023-01-06,Cipla,-12.0
1081.75,1096.95,1076.9,1087.45,893437,0.0,0.0,2023-01-09,Cipla,11.1
1086.5,1090.25,1074.85,1078.7,594426,0.0,0.0,2023-01-10,Cipla,-8.75
1078.7,1083.95,1043.0,1047.6,2168577,0.0,0.0,2023-01-11,Cipla,-31.1
1052.8,1064.1,1043.15,1061.15,1188988,0.0,0.0,2023-01-12,Cipla,13.55
1064.0,1070.6,1053.25,1067.75,1089004,0.0,0.0,2023-01-13,Cipla,6.6
1070.5,1074.7,1051.0,1059.6,825308,0.0,0.0,2023-01-16,Cipla,-8.15
1062.8,1071.1,1053.35,1069.1,762941,0.0,0.0,2023-01-17,Cipla,9.5
1068.9,1072.0,1059.35,1063.4,1299797,0.0,0.0,2023-01-18,Cipla,-5.7
1063.5,1069.6,1058.55,1064.85,376954,0.0,0.0,2023-01-19,Cipla,1.45
1067.0,1067.0,1050.45,1053.45,954230,0.0,0.0,2023-01-20,Cipla,-11.4
1053.4,1064.25,1050.7,1062.55,750581,0.0,0.0,2023-01-23,Cipla,9.1
1065.0,1074.9,1055.05,1062.15,712627,0.0,0.0,2023-01-24,Cipla,-0.4
1064.9,1068.25,1020.0,1035.25,2226483,0.0,0.0,2023-01-25,Cipla,-26.9
1023.25,1072.95,1023.25,1047.25,2947920,0.0,0.0,2023-01-27,Cipla,12.0
1057.0,1057.0,1028.5,1034.4,2118395,0.0,0.0,2023-01-30,Cipla,-12.85
1043.0,1043.0,1007.5,1017.95,2705095,0.0,0.0,2023-01-31,Cipla,-16.45
1019.0,1035.9,1015.1,1032.05,1598213,0.0,0.0,2023-02-01,Cipla,14.1
1026.1,1032.8,1017.3,1025.3,1291262,0.0,0.0,2023-02-02,Cipla,-6.75
